ID,Sentence1,Sentence2,Class
3321,"In 2002 , Global Exchange was awarded the Domestic Human Rights Award by CRLA and a San Francisco based international NGO .",CRLA was awarded the Domestic Human Rights Award by Global Exchange and an international NGO in San Francisco in 2002 .,0
3322,Is it possible to fly a commercial jet into space?,Why can’t an airplane just fly into space?,1
3323,The Cârlig river is a tributary of the river È orogari in Romania .,The Șorogari River is a tributary of the Cârlig River in Romania .,0
3324,What exactly is the Rapture?,What is The Rapture? When should it happen?,1
3325,"The competition was continued under JLT Sport as a sponsor , which started last year .","The competition continued under JLT Sport as a sponsor , which started last year .",1
3326,"3M agreed the name change to Acquire , and Sackson suggested .",3M agreed to the change of name in Acquire and Sackson suggested .,1
3327,Typically external Voucher Management Systems are used with Intelligent Network based prepaid systems .,"Typically , external voucher management systems are used with prepaid systems based on an intelligent network .",1
3328,"Born Chloe Bennet in Chicago , Illinois , Chloe Wang is the daughter of Bennet Wang , an investment banker , and Stephanie Crane , an internist .","Chloe Wang was born Chloe Bennet in Chicago , Illinois . She is the daughter of Bennet Wang , an investment banker and Stephanie Crane , an internist .",1
3329,He finished his career playing for European teams in various leagues .,He finished his career by playing for European teams in various leagues .,1
3330,`` Clitarchus hookeri '' is found from Wellington to the region of Northland in the south of the North Island of New Zealand .,`` Clitarchus hookeri '' is found from Northland to the region of Wellington in the south of the North Island of New Zealand .,0
3331,"In 2009 , Wizard canceled the event in Los Angeles and postponed the Texas Convention .","In 2009 , Wizard canceled the Los Angeles event and postponed the Texas convention .",1
3332,What steps can I take to improve my writing skills?,How can I improve my writing skills to write advanced composition?,1
3333,"A small modular reactor concept has been designed , but the large design is still being conceptualized .","A small modular reactor concept has been designed , but the big design is still being conceptualized .",1
3334,Syrian Haitians are Syrian of Haitian descent or a Haitian with Syrian citizenship . A small Syrian community exists in Haiti .,"Syrian Haitians are Syrians of Haitian descent , or a Haitian with Syrian citizenship . A small Syrian community exists in Haiti .",1
3335,In the midst of the memory flashback Dr. Briggs makes enough sounds to attract Dr. Krane .,In the midst of the memory flashback Dr. Krane makes enough noise to attract Dr. Briggs .,0
3336,"But he is the only candidate who has won national labor endorsements so far, picking up his 11th union on Tuesday when the United Steelworkers of America endorsed him.","But he is the only candidate who has won national labor endorsements so far, picking up his 11th on Tuesday.
",0
3337,"In college football , the Michigan State Spartans football team wore alternate jerseys featuring the phrase in their 2011 rivalry game with the Michigan Wolverines .","In the College Football , the Michigan State Spartans football team wore alternative jerseys with the phrase in their 2011 rivalry game with Michigan Wolverines .",1
3338,If the right compositions are performed first ( operations are read from outer to left ) .,When the outer compositions are performed first ( operations are read from right to left ) .,0
3339,"Santa Cruz County was an airport located in Scotts Valley , California , within Santa Cruz Sky Park .","Santa Cruz Sky Park was an airport in Scotts Valley , California , within Santa Cruz County .",0
3340,"They measure not only population numbers , but also demographic parameters . This combination technique consists of camera traps and sufficient tiger search to collect base data .","They not only measure population numbers , but also measure demographic parameters . This combination technique consists of camera traps and sufficient tiger search to collect basic data .",1
3341,Shortest remaining time is short because advantageous processes are handled very quickly .,The shortest time remaining is advantageous because short processes are handled very quickly .,0
3342,Pill Hill became part of Brookline in 1844 when Boston annexed it .,"In 1844 , Brookline became a part of Pill Hill when it was annexed from Boston .",0
3343,"With his formula for the producing function for the Betti - numbers of the Hilbert scheme of points on an algebraic surface , Göttsche received international recognition :",Göttsche received international acclaim with his formula for the generating function for the Betti numbers of the Hilbert scheme of points on an algebraic surface :,1
3344,What are spiritual values? What are some examples?,What are examples of spiritual values?,1
3345,What happens to a mass of an object when it moves with the speed of light?,What happens with the temperature of an object when it reaches the speed of light?,0
3346,"Thameside is a railway franchise for the provision of passenger services on London , Tilbury and Southend Railway to the east of London and South - Essex .","Essex Thameside is a railway franchise for the provision of passenger services on the London , Tilbury and Southend Railway in east London and south Essex .",1
3347,"His meeting with Naresh Fernandes is documented in the 2011 book `` Taj-Mahal Foxtrot '' , by Dave Brubeck .",His meeting with Naresh Fernandes is documented in the book `` Taj-Mahal Foxtrot '' from Dave Brubeck in 2011 .,1
3348,Tatranská Javorina is a village in Prešov Region in the Poprad District of northern Slovakia .,Tatranska Javorina is a village in Poprad district in the Prešov region of northern Slovakia .,0
3349,"In `` The Kingdom of Auschwitz '' , Rudolf Höss wrote about Otto Friedrich , regarding his decision to display the motto so prominently at the Auschwitz entrance .",Otto Friedrich wrote in `` The Kingdom of Auschwitz '' about Rudolf Höss about his decision to present the motto so prominently at the entrance Auschwitz :,0
3350,"He was died on May 29 , 1935 in Manhattan , New York City , and buried in the Woodlawn Cemetery in Bronx , New York City .","Marling died on May 29 , 1935 in Manhattan , New York City . He was buried in Woodlawn Cemetery in Bronx , New York City .",1
3351,"Jacob Slichter was the brother of geophysicist Charles Pence Slichter , the father of the physicist Louis B. Slichter and the grandfather of the musician Sumner Slichter .","Sumner Slichter was brother of the geophysicist Louis B. Slichter , father of the physicist Charles Pence Slichter and the grandfather of the musician Jacob Slichter .",0
3352,"The technology-laced Nasdaq Composite Index .IXIC gave up 3.88 points, or 0.24 percent, to 1,644.76.","The broader Standard & Poor's 500 Index <.SPX> added 0.99 points, or 0.1 percent, at 995.69.
",0
3353,It formally investigated the mechanics of social networks and articulated the mathematical consequences of these ( including the degree of connectedness ) .,"It formally articulated the mechanics of social networks , and explored the mathematical consequences of these ( including the degree of connectedness ) .",0
3354,"The Institute for Supply Management's manufacturing index rose to 49.4 in May from 45.4 in April, the biggest monthly gain since December.","The Purchasing Managers Index, released on Monday by the Institute for Supply Management, rose to 49.4 in May from 45.4 in April.
",0
3355,"The length of the wings is 3.5-5 mm , adults have been registered in Brazil from November to February and in Argentina in October .","The length of the front wings is 3.5 - 5 mm , adults have been recorded in Argentina from November to February and in Brazil in October .",0
3356,Indonesia ’ s President Suharto visited Indonesia in October 1977 . Syrian Prime Minister Mahmoud Zubei visited Syria and Syrian Prime Minister Naji Ottri in January 2009 in June 1997 .,Indonesian President Suharto visited Indonesia in October 1977 . Syrian Prime Minister Mahmoud Zubei visited Syria in June 1997 and Syrian Prime Minister Naji Ottri in January 2009 .,1
3357,Is a world war going to happen?,Can World War 3 ever take place?,1
3358,Components of elastic potential systems store mechanical energy if they are deformed to the system when applied to forces .,Components of mechanical systems store elastic potential energy if they are deformed on the system when applied forces .,0
3359,"For example , to dial Norway in Oslo before 1992 , it was necessary to call :","For example , to telephone Norway before 1992 in Oslo , it was necessary to call :",1
3360,Lindstrom played for TuTo Turku and TPS . He also played a season in Austria for Klagenfurter AC and four seasons in the Bundesliga for Berliner SC .,"He played for TuTo Turku and Klagenfurter AC , played a season in Austria for TPS and four playing times in the Bundesliga for Berliner SC .",0
3361,The last meeting of the BBU in Chicago in 1932 was the first meeting of GARBC .,The first meeting of the BBU in Chicago in 1932 was the last meeting of GARBC .,0
3362,What is the best LaTeX editor for the Mac?,How can we write in Hindi in latex on a Mac?,0
3363,The Potez X was a colonial 1920s general-purpose French transport aircraft designed and built by Potez .,"The Potez X was a colonial French transport aircraft of the 1920s , designed and built by Potez .",1
3364,"The Government of Punjab , a federal government in the provincial structure of Pakistan , is based in Lahore , the capital of the Punjab Province .","The government of Punjab , a federal government in the provincial structure of Pakistan , is in Lahore , the capital of the Punjab province .",1
3365,Rajasthan Royals is the official clothing sponsor of Provogue in the Indian Premier League and the official clothing sponsor for all teams of the Indian Cricket League .,Rajasthan Royals is the official clothing sponsor of Provogue in the Indian Premier League and the official sponsor for clothing of all teams in the Indian cricket league .,1
3366,"He moved to Macao , joined the Jesuit Order and died in 1737 as a martyr in Vietnam .","He was moved to Vietnam , joined the Jesuit Order , and died as a martyr in Macau in 1737 .",0
3367,"Justice Felix Reginald Dias Bandaranaike II ( January 17 , 1891 -- October 26 , 1951 ) was a Ceylonese ( Sri Lankan ) judge and lawyer .","Justice Felix Reginald Dias Bandaranaike II ( January 17 , 1891 - October 26 , 1951 ) was a Sri Lankan ( Ceylonic ) judge and lawyer .",1
3368,How do I forget a loved one?,How do I forget about love?,0
3369,"Renzo Furlan won against Thomas Johansson in the finals with 6 -- 3 , 6 -- 4 .","Thomas Johansson won 6 -- 3 , 6 -- 4 against Renzo Furlan in the finals .",0
3370,"As Secretary of the Archbishop of Split , he went to Hungary and through Zagreb in 1503 to Venice .","As a secretary of the archbishop of Split he went to Hungary , and in 1503 through Zagreb to Venice .",1
3371,"In March 2017 , Peters criticized the former Foreign Minister Murray McCully for endorsing United Nations Security Council Resolution 2334 without consulting his fellow Cabinet ministers .","In March 2017 , Murray McCully criticized former Foreign Minister Peters for endorsing United Nations Security Council Resolution 2334 without consulting his other cabinet ministers .",0
3372,"The previous host cities of the Sirius Decisions Summit include Orlando ( 2014 ) , Scottsdale ( 2013 ) , and San Diego ( 2012 ) .","The former host cities of the SiriusDecisions Summit include Orlando ( 2014 ) , San Diego ( 2013 ) , and Scottsdale ( 2012 ) .",0
3373,What's the easiest way to become an architect?,How do I become an IT architect faster?,0
3374,"In 235 BCE , after an attack on the State of Zhao , troops from the states of Qin and Chu united to attack Wei but suffered a defeat .","In 235 BC , after an attack on the state of Zhao , united troops from the states of Qin and Chu to attack Wei , however , defeat suffered .",1
3375,"Of the five schools of management thought, which two most nearly reflect your personal day to day management style? Do you think you will likely change your management style in the future? Why or why not?",What are the best ways to get a hotel upgrade in a luxury hotel?,0
3376,"From 1957 until 1974 , Bassett was the owner of the Toronto Argonauts , a team in the Canadian Football League .","Bassett was the owner of the Canadian Football League , a team in the Toronto Argonauts from 1957 to 1974 .",0
3377,"11 ( BA11 ) is one of the most important military airbases in Portugal , northwest of Beja , north of the Algarve .","11 ( BA11 ) is one of the most important military airbases in Portugal , northwest of Beja , north of Algarve .",1
3378,"Rosie Reyes defeated Mimi Arnold , 8 -- 6 , 6 -- 2 .","Rosie Reyes suggested Mimi Arnold , 8 -- 6 , 6 -- 2 .",1
3379,He chose to study Indian history because he wanted to teach it .,He decided to teach Indian history `` because he wanted to study it '' .,0
3380,Is it okay to have no goals in life?,Is it okay to not have a goal or direction in life?,0
3381,"White , a practicing member of the Presbyterian faith , was a freemason at the Clinton Lodge in Romney , where he had served as a master .","Romney , a practicing member of the Presbyterian faith , was a freemason at the Clinton Lodge in White , where he had served as a master .",0
3382,"Epigenomics is a molecular diagnostics company headquartered in Seattle , WA with a wholly owned subsidiary , Epigenomics Inc. based in Berlin , Germany .","Epigenomics is a molecular diagnostics company headquartered in Seattle , WA , with a wholly owned subsidiary , Epigenomics Inc. , based in Berlin .",1
3383,The cast for the fourth season of `` California Dreams '' was the same occupation as for the third season .,The cast for the third season of `` California Dreams '' was the same as for the fourth season occupation .,0
3384,What is a list of the subfields of psychology and what are their distinctions?,What are the subfields of psychology?,1
3385,"In bioinformatics , short indexes are very important in the sequence assembly of inverted fragments of sequenced DNA .","In bioinformatics , inverted indices in the sequence assembly of short fragments of sequenced DNA are very important .",0
3386,"Silver became the engine of the Spanish colonial economy , both in New Spain and in Peru .","Both in Peru and New Spain , silver became the engine of the Spanish colonial economy .",1
3387,"Vancouver also had 4.9 , Calgary had 5.6 , Winnipeg had 5.6 , Montreal had 7.9 , Toronto had 11.2 and Sarnia had 12.7. ``","Vancouver had also 4.9 , Calgary had 5.6 , Winnipeg had 5.6 , Toronto had 7.9 , Montreal had 11.2 and Sarnia had 12.7 had .",0
3388,"U.S. District Judge Denny Chin said Fox's claim was ""wholly without merit, both factually and legally.""","""This case is wholly without merit, both factually and legally,"" Chin said.
",1
3389,"Three such vigilante-style attacks forced the hacker organizer, who identified himself only as ""Eleonora67,"" to extend the contest until 6 p.m. EDT Sunday.","Three such vigilante-style attacks forced the hacker organizer, who identified himself only as ""Eleonora[67],"" to extend the contest until 3 p.m. Arizona time Sunday.
",1
3390,"In 2004 , SCA acquired from Carter Holt Harvey the International Paper Tissue and Hygiene Products division .",In 2004 SCA acquired the tissue and hygiene products businesses of International Paper from Carter Holt Harvey .,1
3391,"In 1994 , Zap Productions joined with Glasgow 's Unique Events to create Edinburgh based UZ Events .","In 1994 , Zap Productions joined forces with Edinburgh 's Unique Events to create UZ events based in Glasgow .",0
3392,"The reserve contains an interesting flora , outstanding lichen and moss communities and a wealth of invertebrates .","The reserve contains interesting flora , excellent lichen and moss communities and a wealth of invertebrates .",1
3393,"Most Jewish anarchists supported anarcho-syndicalism and communist anarchism , while a few were individualist anarchists .","Most individualist anarchists supported anarchosyndicalism and communist anarchism , while a few Jewish anarchists were .",0
3394,Groups of eastern lowland gorillas are usually larger than those of western gorillas .,Groups of eastern lowland gorillas are usually larger than those of the western gorillas .,1
3395,"Robert Maass was born in East Orange , New Jersey , to German immigrants Hedwig and Clara Maass .","Clara Maass was born in East Orange , New Jersey , to the German immigrants Hedwig and Robert Maass .",0
3396,Other nearby geographical features include Dorsa Barlow in the southeast and Rima Jansen to the south .,Other nearby geographical features include Dorsa Barlow to the southeast and Rima Jansen to the south .,1
3397,"The United Kingdom version of `` Sale of the Century '' , produced by Anglia Television , was hosted by Nicholas Parsons .","The British version of `` Sale of the Century '' , hosted by Anglia Television , was produced by Nicholas Parsons .",0
3398,Bridges at this location are the only crossing over the Taunton River between the Veterans Memorial Bridge in Taunton and the Weir Street Bridge in Fall River .,Bridges at this site are the only crossing of the Taunton River between the Veterans Memorial Bridge in Taunton and the Weir Street Bridge in Fall River .,1
3399,"With a strong start to the season and the new Arise Racing team , which brought new cars and great competition to the series , it brought three new races .",With a strong start to the season and the new Arise Racing team bringing new cars and great competition to the series it brought 3 new races .,1
3400,"Until 1930 , Lombard College was based in Galesburg and is now the site of the Lombard Middle School .","Lombard College was located in Galesburg until 1930 , and is now the site of Lombard Middle School .",1
3401,The annual rainfall variation in the district is marginal from place to place .,The minor rainfall variation in the district is annual from place to place .,0
3402,"Through the elevation Wilmont is the highest registered community in America , and is the only place in Nobles County where Larry Lang 's onion rings are sold .","By elevation , Wilmont is the highest incorporated community in America , and is the only place in Nobles County where Larry Lang 's onion rings are sold .",1
3403,The consequence was written by Fred Savage and directed by Chuck Tatham .,The episode was written by Fred Savage and directed by Chuck Tatham .,1
3404,"The deep branch is susceptible to damage during thyroidectomy or cricothyrotomy , as it is immediately superior to the external artery of thyroid gland .","The deep branch lies susceptible to damage during thyroidectomy or cricothyrotomy , as it is immediately superior to the external thyroid artery .",1
3405,"In New South Wales , Narara Valley High School in Australia and Nossal High School in Victoria , the course was taught in their 2012 school year .","In Australia , the Narara Valley High School in New South Wales and Nossal High School in Victoria taught the course in their school year 2012 .",0
3406,"A scalar transformation is a transformation that is '' linear `` up to a twist '' , which means '' to a field automorphism under semilinear multiplication `` .","A semilinear transformation is a transformation that is '' linear `` up to a twist '' , which means '' to a field automorphism under scalar multiplication `` .",0
3407,I have cengage for mathematics algebra . Is it enough for JEE MAIN And Advanced?,How useful is CENGAGE maths for JEE Mains and Advanced?,0
3408,How much work is too much work?,What do you do when there is too much work to do?,0
3409,Rocko wears a blue shirt with purple triangles and orange shoes .,Rocko wears a blue shirt with purple triangles and orange footwear .,1
3410,"Together with his wife Judith , he had 5children -- Magda Kathleen , Gart , Bridget , Julian and Anthony ( otherwise known as Trout )","Together with his wife Magda Kathleen he had 5 children -- Julian , Gart , Bridget , Judith and Anthony ( otherwise known as Trout ) .",0
3411,"In 1971 , a main campus was completed in 33 MacDonnell Road for the new school .","In 1971 , a new campus was completed for primary school in 33 MacDonnell Road .",0
3412,The forewings are dirty straw yellow with three dark point in the form of a triangle .,The forewings are dirty straw dark with three yellow tips in the form of a triangle .,0
3413,"In May , Spencer McLaren arrived as Kieran Fletcher , a love interest for the established character Sally Fletcher ( Kate Ritchie ) .","In May , Kate Ritchie arrived as Sally Fletcher , a love interest for established character Kieran Fletcher ( Spencer McLaren ) .",0
3414,"Born and raised in Dallas , was the son of Margot ( born Birmingham ) and Ross Perot .","Born and raised in Dallas , was the son of Ross Perot ( born Birmingham ) and Margot .",0
3415,"Brian Cutillo worked with his MIT classmate , Dr. Alan Gevins , in the","Brian Cutillo worked with his MIT classmate , Dr. Alan Gevins , in :",1
3416,"The 79th Naval Brigade and the 345th Rifle Division came as reinforcements by sea , using the long winter nights and their naval superiority .","The 79th Naval Brigade and 345th Rifle Division arrived by sea as reinforcements , using the long winter nights and their naval superiority .",1
3417,"When the PPC is temporarily disrupted , especially the PPC on the right , memory of saccades is significantly weakened .","When the PPC is significantly weakened , especially the PPC of the right hemisphere , memory across saccades is temporarily disrupted .",0
3418,"Following the departure of Richie Towell in December 2015 , Finn was played in a more advanced position .",Finn was played in a more advanced position after the departure of Richie Towell in December 2015 .,1
3419,"In 1983 he married Mateusz Janicki , daughter of Jerzy Niewodniczański . They have two children : Katarzyna Niewodniczanska and Marianna .","In 1983 he married Mateusz Janicki , daughter of Jerzy NiewodniczaÅ Ski with two children : Katarzyna Niewodniczanska and Marianna .",1
3420,The Charlotte County and White Creek Militia used Salem as its base in 1776 .,The Charlotte County and White Creek militia used Salem as its base in 1776 .,1
3421,"Weapons: Why is India keen on developing the subsonic cruise missile Nirbhaya, when it already has the supersonic cruise missile Brahmos?",Is it true that brahmos missile is undetectable on radar?,0
3422,"The conclusions are that we are all manifestations of one perfect spiritual mind and the divine spirit , not a material body .","The conclusions are that we are all perfect spiritual ideas of the one divine Mind , and manifest Spirit , not a material body .",0
3423,"Virgil Weigel is Democratic member of the Kansas House of Representatives , representing the 56th district ( Shawnee County , Kansas in Topeka , Kansas ) .","Virgil Weigel is a democratic member of the House of Representatives of Kansas , representing the 56th district ( Topeka , Kansas in Shawnee County , Kansas ) .",0
3424,"Santa Cruz is situated on the shores of the Santa Cruz River , which flows into the eastern part of the Laguna de Bay .",Laguna de Bay is situated on the banks of the Santa Cruz River which flows into the eastern part of Santa Cruz .,0
3425,"Amazingly , in some cases , the first stimulus can actually influence the perception of the second stimulus .","Amazingly , the first stimulus can , in some cases , actually affect the perception of the second stimulus .",1
3426,"After the end of the war in June 1902 , Higgins left Southampton in the `` SSBavarian '' in August , returning to Cape Town the following month .","In August , after the end of the war in June 1902 , Higgins Southampton left the `` SSBavarian '' and returned to Cape Town the following month .",1
3427,Didkovsky has composed for or performed on a number of CDs including :,"Didkovsky has composed or performed for a number of CDs , including :",1
3428,"Webster , Old Orchard , Webster Park , Tuxedo Park , and Selma merged in 1896 to develop public services and implement a unified city government .","In 1896 , Webster , Old Orchard , Webster Park , Tuxedo Park and Selma merged in 1876 in order to develop public services and to implement a unified city government .",0
3429,Tommy then tells him who Tyrone is .,Tommy tells him who is Tyrone .,1
3430,"During peak hours , Kentish Town services continue to Bedford .","During peak hours , services from Kentish Town to Bedford will continue .",1
3431,Are the new 2016 MacBook Pros worth the upgrade?,Do you think that the new MacBook Pro (2016) is worth it?,1
3432,The altar frieze is the work of the sculptor Ronald Hughes and his student Elmar Hillebrand .,The altar frieze is the work of sculptor Ronald Hughes and his student Elmar Hillebrand .,1
3433,Amata leucacma is a type of moth of the family Erebidae It is found in Australia ( Queensland ) .,Amata leucacma is a species of moth of the family Erebidae . It is found in Australia ( Queensland ) .,1
3434,"Bentley and carvings by Hugh Stannus , while the meeting room contains a decorative ceiling by Thomas Earp .",Bentley and carvings by Hugh Stannus while the board room contains a decorative ceiling by Thomas Earp .,1
3435,"Twin Falls High School is a traditional high school in Twin Falls , Idaho , operated by one of the two public secondary schools of the Twin Falls School District .","Twin Falls High School is a public secondary school in Twin Falls , Idaho , one of two traditional high schools operated by the Twin Falls School District .",0
3436,Lagonisi is located approximately 30 km southeast of Athens and 35 km northwest of Cape Sounio .,Lagonisi is located about 30 km southeast of Athens and 35 km northwest of Cape Sounio .,1
3437,"Richard Pindle Hammond , died 1906 and Nathaniel Harris Hammond , composer , born in London , England , were the two other children .","The other two children were the late Nathaniel Harris Hammond , who died in 1906 , and composer Richard Pindle Hammond , born in London , England .",0
3438,It is now a recreation reserve managed by the Highland Park Progressive Association ( HPPA ) in partnership with the Wellington City Council ( WCC ) .,It is now a recovery reserve managed by the Highland Park Progressive Association ( HPPA ) in partnership with the Wellington City Council ( WCC ) .,1
3439,"Adam Adam Ludwik Czartoryski was married to Prince Maria , who married in Warsaw on August 31 , 1901 .","Maria was married to Prince Adam Ludwik Czartoryski , married on August 31 , 1901 in Warsaw .",0
3440,"Born in 1949 , Lars Elinderson is a Swedish politician from the Moderate Party .","Lars Elinderson , born in 1949 , is a Moderate politician of the Swedish Party .",0
3441,"Van Hoof was born in Antwerp , was a student of Peter Benoit and was influenced by the works of Paul Gilson .","Born in Antwerp , Van Hoof was a pupil of Peter Benoit and was heavily influenced by the works of Paul Gilson .",1
3442,"Illinois beat Purdue , 17-7 and Ole Miss beat Army 27-7 .","Purdue , 17-7 beat and beat Ole Miss army 27-7 .",0
3443,"This species occurs in the Pacific Ocean from Thailand to Micronesia and from Taiwan to Queensland , Australia .","This species comes from Thailand to Micronesia and from Taiwan to Queensland , Australia in the Pacific Ocean .",1
3444,"He raised Chiyonofuji , then a `` makuuchi '' wrestler , to the great `` yokozuna '' he became .","He became Chiyonofuji , then a `` Makuuchi '' Wrestler , to the great `` Yokozuna '' , which he raised .",0
3445,"The first settlers were Dr. Henry Clay Fish , Richard Dobbs and James G. Christian , all coming from Missouri to Illinois .","The first settlers were Dr. Henry Clay Fish , Richard P. Dobbs and James G. Christian , who all came to Illinois from Missouri .",1
3446,The word nanosecond is formed by the prefix `` nano '' and the basic one is second a second unit of time or a sixtieth of a second .,The word nanosecond is formed by the prefix `` nano '' and the base is a second second time unit or a sixtieth of a second .,1
3447,"This game was released in Japan on February 18 , 2010 , North America on February 23 , 2010 and Europe on March 26 , 2010 .","This game was released in Japan on February 18 , 2010 , in North America on February 23 , 2010 and in Europe on March 26 , 2010 .",1
3448,The river Vălcea is a tributary of the River Arieşul Mare in Romania .,The Arieşul Mare River is a tributary of the river Vâlcea in Romania .,0
3449,Kudawa is a village and Village Development Committee in Bara District in the Narayani Zone of south-eastern Nepal .,Kudawa is a village and village development committee in the Narayani zone in the Bara - district in south-eastern Nepal .,1
3450,"An EP called Dido Live with three of the seventeen live tracks on the DVD was digitally released exclusively on the iTunes Store on June 21 , 2005 .","An EP named Dido Live , with three of the seventeen live tracks on the DVD , was exclusively released digitally through the iTunes Store on 21 June 2005 .",1
3451,"It is Goine 's first written work and was written before `` Dopefiend '' , but was released in 1972 after `` Dopefiend '' was published .","It is Goines 's first published work and was written before `` Dopefiend '' but was written in 1972 , after `` Dopefiend '' was released .",0
3452,Pennsauken Township is located in the 6th Congressional District and is part of the 1st State Legislative District of New Jersey .,Pennsauken Township is located in the 1st Congressional District and is part of the sixth state of New Jersey 's Legislative District .,0
3453,"The railway station of Bergamo is connected with the regional trains operated by Trenord to Milan , Lecco , Cremona , Treviglio , Brescia and Monza .","Bergamo railway station is connected to Milan , Treviglio , Cremona , Lecco , Brescia and Monza with regional trains operated by Trenord .",1
3454,"The Curtis Museum in Hampshire , England , is a local history museum in Alton .","The Curtis Museum in Hampshire , England , is a local museum in Alton .",1
3455,"The city is situated on the main road between Mogadishu and Jilib , close to Barawa and about 50 miles northeast of Kismayo .","The city is situated on the main road between Mogadishu and Kismayo , near Barawa and about 50 miles northeast of Jilib .",0
3456,"Andrei Pavel and Alexander Waske won in the finals 6 -- 4 , 6 -- 2 against Alexander Peya and Björn Phau .","Andrei Pavel and Alexander Waske won in the final 6 -- 4 , 6 -- 2 , against Alexander Peya and Björn Phau .",1
3457,"The tour reached Bangkok in Thailand on 12 July 2008 and on November 22 , 2008 in Shanghai .","The tour reached July 12 , 2008 in Shanghai and on November 22 , 2008 in Bangkok , Thailand .",0
3458,"Between 2006 and 2011 , Nantes , Bordeaux , Rennes , Montpellier , Toulouse , and Lyon had the fastest-growing conurbations in France .","Between 2006 and 2011 , Toulouse , Rennes , Montpellier , Nantes , Bordeaux and Lyon had the fastest-growing metropolitan areas in France .",1
3459,His nephews include actor Ranbir Kapoor and Armaan Jain and businessman Nikhil Nanda .,"His nephews include actors Nikhil Nanda and Armaan Jain , and businessman Ranbir Kapoor .",0
3460,What is the difference between trivial solutions and non-trivial solutions?,What are trivial and non-trivial solution?,1
3461,Authorities appealed to the public Friday to come forward and provide what could be the key to solving the sniper-style shootings that have killed three people outside area convenience stores.,"Authorities looked to the public yesterday for help in solving the deadly sniper-style shootings of three people outside Charleston-area convenience stores.
",1
3462,"In rats , it also inhibits the peripheral , if not central , secretion of oxytocin and vasopressin .","It also inhibits the peripheral , though not central secretion of oxytocin and vasopressin in rats .",1
3463,"Which is the best and most reliable Chinese smartphone manufacturing company: Xiaomi, Huawei, Oneplus, Vivo, Gionee, Meizu, Oppo, ZTE, Alcatel, Coolpad or Lenovo?",Are Coolpad phones reliable like Lenovo or Xiaomi?,0
3464,It is also the name of a railway station on the suburban line of the Mumbai Central railway .,It is also the name of a station on the suburban line of the Mumbai Central Railway .,1
3465,"Late last year, for example, more than 1800 US soldiers were placed in Djibouti to conduct counter-terrorism operations in the Horn of Africa.","Since late last year, for example, more than 1,800 members of the American military have been placed in Djibouti to conduct counterterrorism operations in the Horn of Africa.
",1
3466,It was the first speech by a US president to a joint session of the Philippines Congress since 1960.,"President Bush on Saturday became the first American president to address a joint session of the Philippine National Congress since Dwight Eisenhower in 1960.
",1
3467,The band undertook a worldwide tour in 2009 and became Joe Satriani 's full volume in 2013 .,The band undertook a worldwide tour in 2009 and became Joe Satriani 's full touring band in 2013 .,0
3468,The three Iranian officials in the negotiations with the Kurdish leaders have returned freely to Iran .,The three Kurdish representatives in the negotiations with the Iranian leadership returned freely to Iran .,0
3469,"The Standard & Poor's 500 Index shed 5.20, or 0.6 percent, to 924.42 as of 9:33 a.m. in New York.","The broader Standard & Poor's 500 Index .SPX edged down 9 points, or 0.98 percent, to 921.
",1
3470,Leu ( Plural Lei ) ( since 1867 ) symbol : L `` See also Leu Romanian .,Currency : Leu ( Romanian Lei ) ( since 1867 ) Symbol : L `` See also plural leu '' .,0
3471,"He married Liane Maria , and had three sons : , Federal Judge of Rio Grande do Norte , Maria José Costa and Ângelo Augusto .","He married Maria José Costa and had three sons : Federal judge of Rio Grande do Norte , Liane Maria and Augusto .",0
3472,"Organized on 24 May 1963 by the Strategic Air Command , activated on October 1 , 1963 .","Organized by Strategic Air Command on 24 May 1963 , activated on 1 October 1963 .",1
3473,No modern Uralic language has exactly the Uralic profile of the family . Typological features with varying presence among the idealized typological language groups include :,No modern Uralic language has exactly the Uralic profile of the family . Typological characteristics with varying presence among the idealized typological language groups are :,1
3474,"What is it like to study for a master's in business analytics at McCombs School of Business, UT Austin?",How good is the UT Dallas with a 50% scholarship compared to Northwestern/CMU for an MS in business analytics?,0
3475,What is tenure of America president?,What is the tenure of USA president?,1
3476,"Charlie Bannington ( died 1951 ) , sometimes known as Arthur Charles Bannington , was a British political activist .","Charlie Bannington ( died in 1951 ) , sometimes known as Arthur Charles Bannington , was a British political activist .",1
3477,"On 6 March 2016 , he debuted in the Ukrainian Premier League for FC Metalist Kharkiv in a game against FC Volyn Lutsk .","On March 6 , 2016 , he debuted in the Ukrainian Premier League for FC Volyn Lutsk in a game against FC Metalist Kharkiv .",0
3478,"Although it is a widespread European species , it is not common . It is notably found in Lithuania .","Although it is a common European species , it is not widespread ; it is mainly found in Lithuania .",1
3479,The ditch was cut from rock and about 5 m wide and 4 to 5 m deep .,The ditch was cut out of rock and about 5 m deep and 4 to 5 m wide .,0
3480,"Tommy Haas defeated Xavier Malisse 6 -- 3 , 3 -- 6 , 7 -- 6","Tommy Haas defeated Xavier Malisse 6 -- 3 , 3 - 6 , 7 -- 6 .",1
3481,"In 1908 , two Leap Year postcard sets designed by Hutaf were released by Paul C. Koeber and Illustrated Postcard Co .","In 1908 , two Leap Year postcard sets were published by Paul C. Koeber and Illustrated Postcard Co. , designed by Hutaf .",1
