text,aspectCategory,polarity,tokens
"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",service,positive,"['The', 'second', 'you', 'walk', 'through', 'the', 'heavy', 'vault', 'like', 'door,', 'with', 'people', 'anticipating', 'your', 'arrival', 'you', 'get', 'the', 'sense', 'that', 'you', 'are', 'going', 'to', 'have', 'the', 'dining', 'ride', 'of', 'a', 'lifetime.']"
Much more reasonably priced too!,price,positive,"['Much', 'more', 'reasonably', 'priced', 'too!']"
"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.",anecdotes/miscellaneous,neutral,"['If', 'you', 'venture', 'off', 'the', 'island', 'of', 'Manhattan', 'and', ""can't"", 'seem', 'to', 'find', 'a', 'great', 'Italian', 'restaurant,', 'drive', 'to', 'Corona.']"
"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.",food,negative,"['The', 'food', 'was', 'not', 'very', 'tasty,', 'the', 'portioins', 'were', 'tiny', 'even', 'for', 'such', 'a', 'high', 'quality', 'restaurant.']"
My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.,anecdotes/miscellaneous,positive,"['My', 'friend', 'from', 'Milan', 'and', 'myself', 'were', 'pleasantly', 'surprised', 'when', 'we', 'arrived', 'and', 'everyone', 'spoke', 'italian.']"
Others have to go to other restaurants and feel sad until they're eaten.,anecdotes/miscellaneous,neutral,"['Others', 'have', 'to', 'go', 'to', 'other', 'restaurants', 'and', 'feel', 'sad', 'until', ""they're"", 'eaten.']"
Why make a reservation if you aren't going to keep it?,service,negative,"['Why', 'make', 'a', 'reservation', 'if', 'you', ""aren't"", 'going', 'to', 'keep', 'it?']"
"The Pad Thai is excellent here, as well.",food,positive,"['The', 'Pad', 'Thai', 'is', 'excellent', 'here,', 'as', 'well.']"
Big and gawky on the outside.,ambience,negative,"['Big', 'and', 'gawky', 'on', 'the', 'outside.']"
I have been to Mary's many times and I like it.,anecdotes/miscellaneous,positive,"['I', 'have', 'been', 'to', ""Mary's"", 'many', 'times', 'and', 'I', 'like', 'it.']"
"Searching to get out from the cold, freezing weather, we went into what we thought was a deli.",anecdotes/miscellaneous,negative,"['Searching', 'to', 'get', 'out', 'from', 'the', 'cold,', 'freezing', 'weather,', 'we', 'went', 'into', 'what', 'we', 'thought', 'was', 'a', 'deli.']"
I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,food,negative,"['I', 'do', 'not', 'recommend', 'lunch', 'specials', 'just', 'because', 'it', 'tasts', 'the', 'same', 'with', 'other', 'regular', 'chinese', 'restaurant.']"
HIGHLY RECOMMENDED!!!!!,anecdotes/miscellaneous,positive,"['HIGHLY', 'RECOMMENDED!!!!!']"
This is the best thing in Soho.,anecdotes/miscellaneous,positive,"['This', 'is', 'the', 'best', 'thing', 'in', 'Soho.']"
Went here last night and had a pleasant experience.,anecdotes/miscellaneous,positive,"['Went', 'here', 'last', 'night', 'and', 'had', 'a', 'pleasant', 'experience.']"
"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",anecdotes/miscellaneous,positive,"['We', 'parked', 'on', 'the', 'block', 'of', ""Nina's"", 'the', 'place', 'looked', 'nice,', 'with', 'people', 'obviously', 'enjoying', 'their', 'pizzas.']"
"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",food,positive,"['We', 'parked', 'on', 'the', 'block', 'of', ""Nina's"", 'the', 'place', 'looked', 'nice,', 'with', 'people', 'obviously', 'enjoying', 'their', 'pizzas.']"
I came here with my boyfriend for our anniversary because it was highly recommended to him by a friend.,anecdotes/miscellaneous,neutral,"['I', 'came', 'here', 'with', 'my', 'boyfriend', 'for', 'our', 'anniversary', 'because', 'it', 'was', 'highly', 'recommended', 'to', 'him', 'by', 'a', 'friend.']"
"For $760 for 2 people, it's a once in a lifetime experience.",price,negative,"['For', '$760', 'for', '2', 'people,', ""it's"", 'a', 'once', 'in', 'a', 'lifetime', 'experience.']"
"The food is o.k., but not any better than what you get at a good neighborhood restaurant.",food,neutral,"['The', 'food', 'is', 'o.k.,', 'but', 'not', 'any', 'better', 'than', 'what', 'you', 'get', 'at', 'a', 'good', 'neighborhood', 'restaurant.']"
We had the pot-stickers which were great and a tempura dish that was great.,food,positive,"['We', 'had', 'the', 'pot-stickers', 'which', 'were', 'great', 'and', 'a', 'tempura', 'dish', 'that', 'was', 'great.']"
I think the stuff was better than Disney.,service,positive,"['I', 'think', 'the', 'stuff', 'was', 'better', 'than', 'Disney.']"
"After reading the good reviews of this restaurant, I decided to give it a try with two friends.",anecdotes/miscellaneous,neutral,"['After', 'reading', 'the', 'good', 'reviews', 'of', 'this', 'restaurant,', 'I', 'decided', 'to', 'give', 'it', 'a', 'try', 'with', 'two', 'friends.']"
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",anecdotes/miscellaneous,negative,"['While', 'the', '$20', 'entree', 'range', 'is', 'not', 'overly', 'expensive,', 'in', 'New', 'York', 'City,', 'there', 'is', 'definitely', 'better', 'food', 'in', 'that', 'range,', 'and', 'so', 'Sapphire,', 'despite', ""it's"", 'lovely', 'atmosphere,', 'will', 'most', 'likely', 'not', 'be', 'a', 'restaurant', 'to', 'which', 'I', 'will', 'return.']"
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",ambience,positive,"['While', 'the', '$20', 'entree', 'range', 'is', 'not', 'overly', 'expensive,', 'in', 'New', 'York', 'City,', 'there', 'is', 'definitely', 'better', 'food', 'in', 'that', 'range,', 'and', 'so', 'Sapphire,', 'despite', ""it's"", 'lovely', 'atmosphere,', 'will', 'most', 'likely', 'not', 'be', 'a', 'restaurant', 'to', 'which', 'I', 'will', 'return.']"
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",price,positive,"['While', 'the', '$20', 'entree', 'range', 'is', 'not', 'overly', 'expensive,', 'in', 'New', 'York', 'City,', 'there', 'is', 'definitely', 'better', 'food', 'in', 'that', 'range,', 'and', 'so', 'Sapphire,', 'despite', ""it's"", 'lovely', 'atmosphere,', 'will', 'most', 'likely', 'not', 'be', 'a', 'restaurant', 'to', 'which', 'I', 'will', 'return.']"
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",food,negative,"['While', 'the', '$20', 'entree', 'range', 'is', 'not', 'overly', 'expensive,', 'in', 'New', 'York', 'City,', 'there', 'is', 'definitely', 'better', 'food', 'in', 'that', 'range,', 'and', 'so', 'Sapphire,', 'despite', ""it's"", 'lovely', 'atmosphere,', 'will', 'most', 'likely', 'not', 'be', 'a', 'restaurant', 'to', 'which', 'I', 'will', 'return.']"
"Orsay, is without a doubt one of the best values for authentic French food in NYC.",food,positive,"['Orsay,', 'is', 'without', 'a', 'doubt', 'one', 'of', 'the', 'best', 'values', 'for', 'authentic', 'French', 'food', 'in', 'NYC.']"
I had been searching really hard for a restaurant in New York where I could really feel unwanted and ignored and I finally found it!,service,negative,"['I', 'had', 'been', 'searching', 'really', 'hard', 'for', 'a', 'restaurant', 'in', 'New', 'York', 'where', 'I', 'could', 'really', 'feel', 'unwanted', 'and', 'ignored', 'and', 'I', 'finally', 'found', 'it!']"
It's definately not a place to go if you want to impress someone.,anecdotes/miscellaneous,negative,"[""It's"", 'definately', 'not', 'a', 'place', 'to', 'go', 'if', 'you', 'want', 'to', 'impress', 'someone.']"
"Well, their deliveries take for ever and the food is usually cold.",food,negative,"['Well,', 'their', 'deliveries', 'take', 'for', 'ever', 'and', 'the', 'food', 'is', 'usually', 'cold.']"
"Well, their deliveries take for ever and the food is usually cold.",service,negative,"['Well,', 'their', 'deliveries', 'take', 'for', 'ever', 'and', 'the', 'food', 'is', 'usually', 'cold.']"
The staff is no nonsense.,service,positive,"['The', 'staff', 'is', 'no', 'nonsense.']"
Chinese Desserts are known for healthful benefits in addition to the sweetness.,food,positive,"['Chinese', 'Desserts', 'are', 'known', 'for', 'healthful', 'benefits', 'in', 'addition', 'to', 'the', 'sweetness.']"
Wonderful at holiday time.,anecdotes/miscellaneous,positive,"['Wonderful', 'at', 'holiday', 'time.']"
And really large portions.,food,positive,"['And', 'really', 'large', 'portions.']"
The place is a lot of fun.,anecdotes/miscellaneous,positive,"['The', 'place', 'is', 'a', 'lot', 'of', 'fun.']"
This is a great Thai restaurant with a very friendly staff.,anecdotes/miscellaneous,positive,"['This', 'is', 'a', 'great', 'Thai', 'restaurant', 'with', 'a', 'very', 'friendly', 'staff.']"
This is a great Thai restaurant with a very friendly staff.,service,positive,"['This', 'is', 'a', 'great', 'Thai', 'restaurant', 'with', 'a', 'very', 'friendly', 'staff.']"
"Have eaten at Ginger House several times, and it's always good.",anecdotes/miscellaneous,positive,"['Have', 'eaten', 'at', 'Ginger', 'House', 'several', 'times,', 'and', ""it's"", 'always', 'good.']"
I ordered the smoked salmon and roe appetizer and it was off flavor.,food,negative,"['I', 'ordered', 'the', 'smoked', 'salmon', 'and', 'roe', 'appetizer', 'and', 'it', 'was', 'off', 'flavor.']"
"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.",food,positive,"['We', 'went', 'here', 'for', 'lunch', 'a', 'couple', 'of', 'weeks', 'ago', 'on', 'a', 'Saturday,', 'and', 'I', 'was', 'thoroughly', 'impressed', 'with', 'the', 'food.']"
"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",food,positive,"['I', 'recommend', 'the', 'garlic', 'shrimp,', 'okra', '(bindi),', 'and', 'anything', 'with', 'lamb.']"
"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",anecdotes/miscellaneous,positive,"['As', 'a', 'Japanese', 'native,', ""I've"", 'lived', 'in', 'the', 'Tristate', 'area', 'for', 'over', '8', 'years,', 'but', 'I', 'was', 'just', 'so', 'amazed', 'at', 'this', 'place.']"
"To give you an idea of how good we thought it was, we ended up going to Ping's three weekends in a row!!!",anecdotes/miscellaneous,positive,"['To', 'give', 'you', 'an', 'idea', 'of', 'how', 'good', 'we', 'thought', 'it', 'was,', 'we', 'ended', 'up', 'going', 'to', ""Ping's"", 'three', 'weekends', 'in', 'a', 'row!!!']"
"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",anecdotes/miscellaneous,neutral,"['As', 'we', 'were', 'leaving,', 'the', 'couple', 'standing', 'by', 'the', 'door', 'said', 'to', 'another', 'waiter,', ""we're"", 'not', 'in', 'a', 'hurry.']"
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",food,positive,"['The', 'menu', 'was', 'impressive', 'with', 'selections', 'ranging', 'from', 'a', 'burger,', 'to', 'steak,', 'to', 'escargot.']"
"In fact, two people could really share one plate.",food,positive,"['In', 'fact,', 'two', 'people', 'could', 'really', 'share', 'one', 'plate.']"
The food is great and authentic.,food,positive,"['The', 'food', 'is', 'great', 'and', 'authentic.']"
This was a repeat visit and we'll definitely be back again.,anecdotes/miscellaneous,positive,"['This', 'was', 'a', 'repeat', 'visit', 'and', ""we'll"", 'definitely', 'be', 'back', 'again.']"
during happy hour!,anecdotes/miscellaneous,neutral,"['during', 'happy', 'hour!']"
Good for casual dinner with jeans and sneakers.,anecdotes/miscellaneous,positive,"['Good', 'for', 'casual', 'dinner', 'with', 'jeans', 'and', 'sneakers.']"
Love YUKA.,anecdotes/miscellaneous,positive,"['Love', 'YUKA.']"
"Anyway, the food is good, the price is right and they have a decent wine list.",food,positive,"['Anyway,', 'the', 'food', 'is', 'good,', 'the', 'price', 'is', 'right', 'and', 'they', 'have', 'a', 'decent', 'wine', 'list.']"
"Anyway, the food is good, the price is right and they have a decent wine list.",price,positive,"['Anyway,', 'the', 'food', 'is', 'good,', 'the', 'price', 'is', 'right', 'and', 'they', 'have', 'a', 'decent', 'wine', 'list.']"
"Go, go, hurry, before everyone finds out about it.",anecdotes/miscellaneous,positive,"['Go,', 'go,', 'hurry,', 'before', 'everyone', 'finds', 'out', 'about', 'it.']"
Prices are higher to dine in and their chicken tikka marsala is quite good.,food,positive,"['Prices', 'are', 'higher', 'to', 'dine', 'in', 'and', 'their', 'chicken', 'tikka', 'marsala', 'is', 'quite', 'good.']"
Prices are higher to dine in and their chicken tikka marsala is quite good.,price,negative,"['Prices', 'are', 'higher', 'to', 'dine', 'in', 'and', 'their', 'chicken', 'tikka', 'marsala', 'is', 'quite', 'good.']"
I am bringing my whole family back next time.,anecdotes/miscellaneous,positive,"['I', 'am', 'bringing', 'my', 'whole', 'family', 'back', 'next', 'time.']"
This place has many different styles of pizza and they are all amazing.,food,positive,"['This', 'place', 'has', 'many', 'different', 'styles', 'of', 'pizza', 'and', 'they', 'are', 'all', 'amazing.']"
The photos of the restaurant in its web site are way better than the real look.,ambience,negative,"['The', 'photos', 'of', 'the', 'restaurant', 'in', 'its', 'web', 'site', 'are', 'way', 'better', 'than', 'the', 'real', 'look.']"
The food was lousy - too sweet or too salty and the portions tiny.,food,negative,"['The', 'food', 'was', 'lousy', '-', 'too', 'sweet', 'or', 'too', 'salty', 'and', 'the', 'portions', 'tiny.']"
But the coconut rice was good.,food,positive,"['But', 'the', 'coconut', 'rice', 'was', 'good.']"
It took them 25 minutes to bring our appetizer.,service,negative,"['It', 'took', 'them', '25', 'minutes', 'to', 'bring', 'our', 'appetizer.']"
A guaranteeed delight!,anecdotes/miscellaneous,positive,"['A', 'guaranteeed', 'delight!']"
I have been coming to this neighborhood spot for years.,anecdotes/miscellaneous,neutral,"['I', 'have', 'been', 'coming', 'to', 'this', 'neighborhood', 'spot', 'for', 'years.']"
Overall I would recommend it and go back again.,anecdotes/miscellaneous,positive,"['Overall', 'I', 'would', 'recommend', 'it', 'and', 'go', 'back', 'again.']"
The food was great.,food,positive,"['The', 'food', 'was', 'great.']"
Pair you food with the excellent beers on tap or their well priced wine list.,food,positive,"['Pair', 'you', 'food', 'with', 'the', 'excellent', 'beers', 'on', 'tap', 'or', 'their', 'well', 'priced', 'wine', 'list.']"
Pair you food with the excellent beers on tap or their well priced wine list.,price,positive,"['Pair', 'you', 'food', 'with', 'the', 'excellent', 'beers', 'on', 'tap', 'or', 'their', 'well', 'priced', 'wine', 'list.']"
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,ambience,negative,"['If', 'you', 'like', 'your', 'music', 'blasted', 'and', 'the', 'system', 'isnt', 'that', 'great', 'and', 'if', 'you', 'want', 'to', 'pay', 'at', 'least', '100', 'dollar', 'bottle', 'minimun', 'then', ""you'll"", 'love', 'it', 'here.']"
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,price,negative,"['If', 'you', 'like', 'your', 'music', 'blasted', 'and', 'the', 'system', 'isnt', 'that', 'great', 'and', 'if', 'you', 'want', 'to', 'pay', 'at', 'least', '100', 'dollar', 'bottle', 'minimun', 'then', ""you'll"", 'love', 'it', 'here.']"
All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,food,positive,"['All', 'of', 'my', 'co-workers', 'stated', 'that', 'the', 'food', 'was', 'amazing', 'and', 'wondered', 'why', 'they', ""hadn't"", 'heard', 'about', 'this', 'place.']"
"Anyway, this is the last time I cross the williamsburg.",anecdotes/miscellaneous,negative,"['Anyway,', 'this', 'is', 'the', 'last', 'time', 'I', 'cross', 'the', 'williamsburg.']"
Metrazur has a beautiful spot overlooking the main terminal.,ambience,positive,"['Metrazur', 'has', 'a', 'beautiful', 'spot', 'overlooking', 'the', 'main', 'terminal.']"
Friendly staff that actually lets you enjoy your meal and the company you're with.,service,positive,"['Friendly', 'staff', 'that', 'actually', 'lets', 'you', 'enjoy', 'your', 'meal', 'and', 'the', 'company', ""you're"", 'with.']"
"When I'm feeling stressed by the noise and congestion around my office, I head for Cafe St. Bart's.",anecdotes/miscellaneous,neutral,"['When', ""I'm"", 'feeling', 'stressed', 'by', 'the', 'noise', 'and', 'congestion', 'around', 'my', 'office,', 'I', 'head', 'for', 'Cafe', 'St.', ""Bart's.""]"
Guess the 555Soul ads didn't launch her big modeling career.,anecdotes/miscellaneous,neutral,"['Guess', 'the', '555Soul', 'ads', ""didn't"", 'launch', 'her', 'big', 'modeling', 'career.']"
The restaurant is rather small but we were lucky to get a table quickly.,service,positive,"['The', 'restaurant', 'is', 'rather', 'small', 'but', 'we', 'were', 'lucky', 'to', 'get', 'a', 'table', 'quickly.']"
The restaurant is rather small but we were lucky to get a table quickly.,ambience,negative,"['The', 'restaurant', 'is', 'rather', 'small', 'but', 'we', 'were', 'lucky', 'to', 'get', 'a', 'table', 'quickly.']"
"Besides, we were on vacation!",anecdotes/miscellaneous,neutral,"['Besides,', 'we', 'were', 'on', 'vacation!']"
I love this cozy around the way Rest.,ambience,positive,"['I', 'love', 'this', 'cozy', 'around', 'the', 'way', 'Rest.']"
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",food,positive,"['Quality', 'of', 'food', 'is', 'excellent', 'and', 'price', 'is', 'cheap,', 'stick', 'to', 'pork,', 'fish,', 'chicken,', 'lamb', 'and', 'vegetables.']"
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",price,positive,"['Quality', 'of', 'food', 'is', 'excellent', 'and', 'price', 'is', 'cheap,', 'stick', 'to', 'pork,', 'fish,', 'chicken,', 'lamb', 'and', 'vegetables.']"
Don't leave without trying One Night in Tokyo.,anecdotes/miscellaneous,positive,"[""Don't"", 'leave', 'without', 'trying', 'One', 'Night', 'in', 'Tokyo.']"
Save yourself the time and trouble and skip this one!,anecdotes/miscellaneous,negative,"['Save', 'yourself', 'the', 'time', 'and', 'trouble', 'and', 'skip', 'this', 'one!']"
This is my favorite Italian restaurant in all of New York City.,anecdotes/miscellaneous,positive,"['This', 'is', 'my', 'favorite', 'Italian', 'restaurant', 'in', 'all', 'of', 'New', 'York', 'City.']"
"The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty.",ambience,negative,"['The', 'place', 'is', 'a', 'little', 'tight', 'and', 'on', 'a', 'cold', 'day,', 'the', 'seating', 'by', 'the', 'entranceway', 'can', 'be', 'pretty', 'drafty.']"
The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,food,positive,"['The', 'appetizing', 'is', 'excellent', '-', 'just', 'as', 'good', 'as', 'Zabars', 'Barney', 'Greengrass', 'at', 'a', 'reasonable', 'price', '(if', 'bought', 'by', 'the', 'pound).']"
The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,price,positive,"['The', 'appetizing', 'is', 'excellent', '-', 'just', 'as', 'good', 'as', 'Zabars', 'Barney', 'Greengrass', 'at', 'a', 'reasonable', 'price', '(if', 'bought', 'by', 'the', 'pound).']"
"But, they were too big for the bun.",food,negative,"['But,', 'they', 'were', 'too', 'big', 'for', 'the', 'bun.']"
"The food is fresh, delicious, and reasonably priced.",food,positive,"['The', 'food', 'is', 'fresh,', 'delicious,', 'and', 'reasonably', 'priced.']"
"The food is fresh, delicious, and reasonably priced.",price,positive,"['The', 'food', 'is', 'fresh,', 'delicious,', 'and', 'reasonably', 'priced.']"
Raga stands out with an interesting fusion of French and Indian cooking.,food,positive,"['Raga', 'stands', 'out', 'with', 'an', 'interesting', 'fusion', 'of', 'French', 'and', 'Indian', 'cooking.']"
"A few tips: skip the turnip cake, roast pork buns and egg custards.",food,negative,"['A', 'few', 'tips:', 'skip', 'the', 'turnip', 'cake,', 'roast', 'pork', 'buns', 'and', 'egg', 'custards.']"
The bagels are fabulous.,food,positive,"['The', 'bagels', 'are', 'fabulous.']"
"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.",service,negative,"['Oh', 'yes,', 'and', 'they', 'lie', 'on', 'the', 'phone,', 'claiming', 'they', 'have', 'seating', 'in', 'the', 'garden,', 'then', 'of', 'course', 'the', 'seats', 'are', 'not', 'available.']"
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,service,positive,"['Although', 'they', 'do', 'the', 'typical', 'what', 'kind', 'of', 'water', 'would', 'you', 'like', 'questions', 'the', 'service', 'was', 'good', 'and', 'overall', 'very', 'relaxing', 'to', 'place', 'to', 'eat.']"
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,ambience,positive,"['Although', 'they', 'do', 'the', 'typical', 'what', 'kind', 'of', 'water', 'would', 'you', 'like', 'questions', 'the', 'service', 'was', 'good', 'and', 'overall', 'very', 'relaxing', 'to', 'place', 'to', 'eat.']"
"The food was very good, a great deal, and the place its self was great.",food,positive,"['The', 'food', 'was', 'very', 'good,', 'a', 'great', 'deal,', 'and', 'the', 'place', 'its', 'self', 'was', 'great.']"
"The food was very good, a great deal, and the place its self was great.",ambience,positive,"['The', 'food', 'was', 'very', 'good,', 'a', 'great', 'deal,', 'and', 'the', 'place', 'its', 'self', 'was', 'great.']"
The food options rule.,food,positive,"['The', 'food', 'options', 'rule.']"
A great choice at any cost and a great deal.,anecdotes/miscellaneous,positive,"['A', 'great', 'choice', 'at', 'any', 'cost', 'and', 'a', 'great', 'deal.']"
A great choice at any cost and a great deal.,price,positive,"['A', 'great', 'choice', 'at', 'any', 'cost', 'and', 'a', 'great', 'deal.']"
"Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.",food,negative,"['Anybody', 'who', 'likes', 'this', 'place', 'must', 'be', 'from', 'a', 'different', 'planet,', 'where', 'greasy,', 'dry', 'and', 'tasteless', 'are', 'complimentary.']"
"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight.",food,neutral,"['We', 'ate', 'here', 'in', 'March,', '2006', 'and', 'ordered', 'the', 'pre-theatre', '3-course', 'dinner', 'with', 'wine', 'flight.']"
Definately check it out!!!,anecdotes/miscellaneous,positive,"['Definately', 'check', 'it', 'out!!!']"
"Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown).",ambience,neutral,"['Probably', 'much', 'busier', 'for', 'lunch,', ""it's"", 'seldom', 'crowded', 'for', 'dinner', '(too', 'close', 'to', 'downtown).']"
"Their calzones are horrific, bad, vomit-inducing, YUCK.",food,negative,"['Their', 'calzones', 'are', 'horrific,', 'bad,', 'vomit-inducing,', 'YUCK.']"
It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.,service,negative,"['It', 'takes', 'forever', 'to', 'get', 'a', 'drink', 'and', 'they', 'almost', 'always', 'forget', 'to', 'bring', 'something', '(although', 'they', 'dont', 'forget', 'to', 'charge', 'you', 'for', 'it.']"
The place itself is beautiful the bar scene seems to be happening.,ambience,positive,"['The', 'place', 'itself', 'is', 'beautiful', 'the', 'bar', 'scene', 'seems', 'to', 'be', 'happening.']"
"Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us.",service,positive,"['Saturday,', 'Nov.', '6th', 'I', 'had', 'a', 'group', 'from', 'work', 'come', 'in', 'with', 'about', '35', 'people', 'and', 'the', 'staff', 'was', 'amazing', 'to', 'accomodate', 'us.']"
"Good spreads, great beverage selections and bagels really tasty.",food,positive,"['Good', 'spreads,', 'great', 'beverage', 'selections', 'and', 'bagels', 'really', 'tasty.']"
"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.",service,negative,"['First,', 'the', 'waiter', 'who', 'served', 'us', 'neglected', 'to', 'fill', 'us', 'in', 'on', 'the', 'specials,', 'which', 'I', 'would', 'have', 'chosen', 'had', 'I', 'known', 'about', 'them.']"
We will be back.,anecdotes/miscellaneous,positive,"['We', 'will', 'be', 'back.']"
"Also, top the meal with a delicious and perfect slice of tiramisu.",food,positive,"['Also,', 'top', 'the', 'meal', 'with', 'a', 'delicious', 'and', 'perfect', 'slice', 'of', 'tiramisu.']"
It seems like this is a place the locals like and the people working here liked it too.,anecdotes/miscellaneous,positive,"['It', 'seems', 'like', 'this', 'is', 'a', 'place', 'the', 'locals', 'like', 'and', 'the', 'people', 'working', 'here', 'liked', 'it', 'too.']"
Check out the secret back room.,ambience,positive,"['Check', 'out', 'the', 'secret', 'back', 'room.']"
"It's also attached to Angel's Share, which is a cool, more romantic bar...",ambience,positive,"[""It's"", 'also', 'attached', 'to', ""Angel's"", 'Share,', 'which', 'is', 'a', 'cool,', 'more', 'romantic', 'bar...']"
"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.",food,positive,"['Authentic', 'food', 'and', 'they', 'have', 'REAL', 'service,', 'not', 'just', 'the', 'rush', 'you', 'get', 'sometimes', 'when', 'they', 'try', 'to', 'push', 'you', 'out', 'the', 'door.']"
"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.",service,positive,"['Authentic', 'food', 'and', 'they', 'have', 'REAL', 'service,', 'not', 'just', 'the', 'rush', 'you', 'get', 'sometimes', 'when', 'they', 'try', 'to', 'push', 'you', 'out', 'the', 'door.']"
Stick to the gulab jamun.,food,positive,"['Stick', 'to', 'the', 'gulab', 'jamun.']"
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",food,positive,"['I', 'am', 'amazed', 'by', 'the', 'poor', 'reviews-', 'I', 'find', 'this', 'place', 'to', 'be', 'standout', 'Italian', 'in', 'an', 'area', 'flooded', 'with', 'Italian-', 'great', 'prices,', 'great', 'atmosphere,', 'good', 'service', 'and', 'a', 'wonderful', 'wine', 'list.']"
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",service,positive,"['I', 'am', 'amazed', 'by', 'the', 'poor', 'reviews-', 'I', 'find', 'this', 'place', 'to', 'be', 'standout', 'Italian', 'in', 'an', 'area', 'flooded', 'with', 'Italian-', 'great', 'prices,', 'great', 'atmosphere,', 'good', 'service', 'and', 'a', 'wonderful', 'wine', 'list.']"
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",ambience,positive,"['I', 'am', 'amazed', 'by', 'the', 'poor', 'reviews-', 'I', 'find', 'this', 'place', 'to', 'be', 'standout', 'Italian', 'in', 'an', 'area', 'flooded', 'with', 'Italian-', 'great', 'prices,', 'great', 'atmosphere,', 'good', 'service', 'and', 'a', 'wonderful', 'wine', 'list.']"
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",price,positive,"['I', 'am', 'amazed', 'by', 'the', 'poor', 'reviews-', 'I', 'find', 'this', 'place', 'to', 'be', 'standout', 'Italian', 'in', 'an', 'area', 'flooded', 'with', 'Italian-', 'great', 'prices,', 'great', 'atmosphere,', 'good', 'service', 'and', 'a', 'wonderful', 'wine', 'list.']"
I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,service,negative,"['I', 'was', 'back-to-back', 'with', 'the', 'diner', 'at', 'the', 'table', 'behind', 'me', 'and', 'wait', 'staff', 'had', 'to', 'hoist', 'trays', 'over', 'our', 'heads', 'as', 'they', 'squeezed', 'past', 'us', 'again', 'and', 'again.']"
I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,ambience,negative,"['I', 'was', 'back-to-back', 'with', 'the', 'diner', 'at', 'the', 'table', 'behind', 'me', 'and', 'wait', 'staff', 'had', 'to', 'hoist', 'trays', 'over', 'our', 'heads', 'as', 'they', 'squeezed', 'past', 'us', 'again', 'and', 'again.']"
